,store,sido,gungu
0,역삼아레나빌딩  ,서울특별시,강남구
1,논현역사거리  ,서울특별시,강남구
2,신사역성일빌딩  ,서울특별시,강남구
3,국기원사거리  ,서울특별시,강남구
4,스탈릿대치R  ,서울특별시,강남구
5,봉은사역  ,서울특별시,강남구
6,압구정윤성빌딩  ,서울특별시,강남구
7,코엑스별마당  ,서울특별시,강남구
8,삼성역섬유센터R  ,서울특별시,강남구
9,압구정R  ,서울특별시,강남구
10,수서역R  ,서울특별시,강남구
11,양재강남빌딩R  ,서울특별시,강남구
12,선릉동신빌딩R  ,서울특별시,강남구
13,봉은사로선정릉  ,서울특별시,강남구
14,강남오거리  ,서울특별시,강남구
15,스타필드코엑스몰R  ,서울특별시,강남구
16,강남구청정문  ,서울특별시,강남구
17,도곡공원  ,서울특별시,강남구
18,강남R  ,서울특별시,강남구
19,대치은마사거리  ,서울특별시,강남구
20,청담영동대로  ,서울특별시,강남구
21,압구정  ,서울특별시,강남구
22,신사가로수  ,서울특별시,강남구
23,청담스타R  ,서울특별시,강남구
24,강남우성  ,서울특별시,강남구
25,학동사거리  ,서울특별시,강남구
26,대치사거리  ,서울특별시,강남구
27,포스코사거리  ,서울특별시,강남구
28,을지병원사거리  ,서울특별시,강남구
29,신사역  ,서울특별시,강남구
30,도곡역  ,서울특별시,강남구
31,서울세관사거리  ,서울특별시,강남구
32,청담사거리  ,서울특별시,강남구
33,한티역  ,서울특별시,강남구
34,역삼초교사거리  ,서울특별시,강남구
35,코엑스몰  ,서울특별시,강남구
36,가로수길  ,서울특별시,강남구
37,역삼대로  ,서울특별시,강남구
38,역삼포스코  ,서울특별시,강남구
39,강남대로  ,서울특별시,강남구
40,청담  ,서울특별시,강남구
41,삼성도심공항  ,서울특별시,강남구
42,삼성교  ,서울특별시,강남구
43,학동역  ,서울특별시,강남구
44,대치  ,서울특별시,강남구
45,SSG마켓도곡R  ,서울특별시,강남구
46,삼성  ,서울특별시,강남구
47,선릉세화빌딩  ,서울특별시,강남구
48,압구정역  ,서울특별시,강남구
49,압구정로  ,서울특별시,강남구
50,구역삼사거리  ,서울특별시,강남구
51,큰길타워  ,서울특별시,강남구
52,강남구청역  ,서울특별시,강남구
53,대치역  ,서울특별시,강남구
54,포이  ,서울특별시,강남구
55,아크플레이스  ,서울특별시,강남구
56,학여울역  ,서울특별시,강남구
57,선정릉역  ,서울특별시,강남구
58,삼성현대힐  ,서울특별시,강남구
59,GS타워  ,서울특별시,강남구
60,압구정미소  ,서울특별시,강남구
61,선릉역  ,서울특별시,강남구
