시도별,1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비
전국,37274,37596,20661,18057
서울특별시,45118,48693,23978,21991
부산광역시,27577,29259,19723,18134
대구광역시,23883,27700,19196,17964
인천광역시,30584,32873,19582,16552
광주광역시,27799,31186,20791,18326
대전광역시,28561,31566,20648,18115
울산광역시,65112,54190,22617,18574
세종특별자치시,35802,38186,20674,16845
경기도,36064,38929,20746,17493
강원도,32192,29397,19174,16905
충청북도,42704,34889,18989,15885
충청남도,51874,41089,19216,16123
전라북도,28835,28302,18941,16103
전라남도,43402,35673,19072,16199
경상북도,40082,35038,18748,16311
경상남도,34040,32035,19078,16520
제주특별자치도,30792,30710,18815,17037
