시·도별(1),총인구 (명),남 (명),여 (명),한국인_세대 (세대),한국인_계 (명),한국인_남 (명),한국인_여 (명),외국인_계 (명),외국인_남 (명),외국인_여 (명)
전국,53128391,26595111,26533280,22481466,51849861,25864816,25985045,1278530,730295,548235
서울,10010983,4877725,5133258,4327605,9729107,4744059,4985048,281876,133666,148210
부산,3466563,1704098,1762465,1497908,3413841,1675417,1738424,52722,28681,24041
대구,2468222,1221693,1246529,1031251,2438031,1205286,1232745,30191,16407,13784
인천,3029285,1523404,1505881,1238641,2957026,1482249,1474777,72259,41155,31104
광주,1480293,733760,746533,616485,1456468,720740,735728,23825,13020,10805
대전,1493979,745444,748535,635343,1474870,736607,738263,19109,8837,10272
울산,1168469,602050,566419,468659,1148019,589712,558307,20450,12338,8112
세종,346275,173432,172843,135408,340575,169845,170730,5700,3587,2113
경기,13653984,6910590,6743394,5468920,13239666,6659995,6579671,414318,250595,163723
강원,1560571,785770,774801,719524,1541502,775386,766116,19069,10384,8685
충북,1640721,835866,804855,722123,1600007,810384,789623,40714,25482,15232
충남,2194384,1124743,1069641,959255,2123709,1081938,1041771,70675,42805,27870
전북,1851991,922410,929581,816191,1818917,904110,914807,33074,18300,14774
전남,1903383,959897,943486,872628,1868745,937674,931071,34638,22223,12415
경북,2723955,1378492,1345463,1227548,2665836,1342037,1323799,58119,36455,21664
경남,3438676,1743984,1694692,1450822,3362553,1692032,1670521,76123,51952,24171
제주,696657,351753,344904,293155,670989,337345,333644,25668,14408,11260
